Time;Channel B
(us);(mV)

-0,94088420;0,39370070
-0,93928420;1,18110200
-0,93768420;0,39370070
-0,93608420;1,18110200
-0,93448420;1,18110200
-0,93288420;1,18110200
-0,93128420;1,57480300
-0,92968420;1,18110200
-0,92808420;0,78740150
-0,92648420;0,78740150
-0,92488420;0,00000000
-0,92328420;0,78740150
-0,92168420;1,18110200
-0,92008420;1,57480300
-0,91848420;0,78740150
-0,91688420;0,39370070
-0,91528420;1,57480300
-0,91368420;1,18110200
-0,91208420;1,18110200
-0,91048420;0,78740150
-0,90888420;0,78740150
-0,90728420;1,57480300
-0,90568420;0,39370070
-0,90408420;1,57480300
-0,90248420;1,18110200
-0,90088420;0,39370070
-0,89928420;0,39370070
-0,89768420;0,39370070
-0,89608420;1,18110200
-0,89448420;0,00000000
-0,89288420;1,18110200
-0,89128420;1,57480300
-0,88968420;0,78740150
-0,88808420;0,78740150
-0,88648420;0,78740150
-0,88488420;1,18110200
-0,88328420;0,78740150
-0,88168420;1,18110200
-0,88008420;0,78740150
-0,87848420;0,78740150
-0,87688420;1,57480300
-0,87528420;0,78740150
-0,87368420;0,78740150
-0,87208420;1,96850400
-0,87048420;1,57480300
-0,86888420;0,78740150
-0,86728420;1,18110200
-0,86568420;1,18110200
-0,86408420;1,18110200
-0,86248420;0,78740150
-0,86088420;1,18110200
-0,85928420;0,78740150
-0,85768420;0,00000000
-0,85608420;0,78740150
-0,85448420;1,18110200
-0,85288420;0,39370070
-0,85128420;0,78740150
-0,84968420;0,78740150
-0,84808420;0,78740150
-0,84648420;1,18110200
-0,84488420;0,78740150
-0,84328420;1,18110200
-0,84168420;1,18110200
-0,84008420;0,78740150
-0,83848420;0,78740150
-0,83688420;1,18110200
-0,83528420;0,39370070
-0,83368420;1,18110200
-0,83208420;0,78740150
-0,83048420;0,78740150
-0,82888420;0,00000000
-0,82728420;0,78740150
-0,82568420;0,00000000
-0,82408420;0,39370070
-0,82248420;0,78740150
-0,82088420;0,78740150
-0,81928420;0,78740150
-0,81768420;1,57480300
-0,81608420;0,78740150
-0,81448420;0,78740150
-0,81288420;0,39370070
-0,81128420;1,18110200
-0,80968420;0,78740150
-0,80808420;0,78740150
-0,80648420;1,18110200
-0,80488420;0,39370070
-0,80328420;1,18110200
-0,80168420;1,18110200
-0,80008420;0,39370070
-0,79848420;0,78740150
-0,79688420;1,18110200
-0,79528420;1,18110200
-0,79368420;1,57480300
-0,79208420;1,18110200
-0,79048420;0,78740150
-0,78888420;0,78740150
-0,78728420;1,18110200
-0,78568420;0,78740150
-0,78408420;0,78740150
-0,78248420;0,78740150
-0,78088420;0,78740150
-0,77928420;1,18110200
-0,77768420;0,78740150
-0,77608420;1,57480300
-0,77448420;1,57480300
-0,77288420;1,57480300
-0,77128420;1,18110200
-0,76968420;0,00000000
-0,76808420;1,57480300
-0,76648420;0,78740150
-0,76488420;0,00000000
-0,76328420;0,78740150
-0,76168420;0,39370070
-0,76008420;0,39370070
-0,75848420;0,78740150
-0,75688420;0,39370070
-0,75528420;1,18110200
-0,75368420;0,78740150
-0,75208420;0,78740150
-0,75048420;0,39370070
-0,74888420;0,78740150
-0,74728420;0,78740150
-0,74568420;1,18110200
-0,74408420;0,78740150
-0,74248420;1,18110200
-0,74088420;0,78740150
-0,73928420;1,96850400
-0,73768420;0,78740150
-0,73608420;0,78740150
-0,73448420;1,18110200
-0,73288420;1,57480300
-0,73128420;1,57480300
-0,72968420;1,18110200
-0,72808420;0,78740150
-0,72648420;0,78740150
-0,72488420;0,39370070
-0,72328420;0,78740150
-0,72168420;0,39370070
-0,72008420;1,18110200
-0,71848420;0,78740150
-0,71688420;0,39370070
-0,71528420;0,78740150
-0,71368420;1,18110200
-0,71208420;1,18110200
-0,71048420;0,78740150
-0,70888420;1,57480300
-0,70728420;1,57480300
-0,70568420;0,78740150
-0,70408420;1,18110200
-0,70248420;0,78740150
-0,70088420;1,57480300
-0,69928420;1,18110200
-0,69768420;0,39370070
-0,69608420;0,78740150
-0,69448420;0,78740150
-0,69288420;0,78740150
-0,69128420;0,39370070
-0,68968420;0,78740150
-0,68808420;1,18110200
-0,68648420;0,39370070
-0,68488420;0,78740150
-0,68328420;1,18110200
-0,68168420;0,39370070
-0,68008420;1,57480300
-0,67848420;1,18110200
-0,67688420;1,18110200
-0,67528420;0,39370070
-0,67368420;0,39370070
-0,67208420;0,39370070
-0,67048420;0,78740150
-0,66888420;0,39370070
-0,66728420;0,78740150
-0,66568420;1,18110200
-0,66408420;1,57480300
-0,66248420;0,78740150
-0,66088420;1,18110200
-0,65928420;1,57480300
-0,65768420;0,78740150
-0,65608420;1,18110200
-0,65448420;0,78740150
-0,65288420;1,57480300
-0,65128420;0,78740150
-0,64968420;0,39370070
-0,64808420;0,78740150
-0,64648420;0,78740150
-0,64488420;1,57480300
-0,64328420;1,18110200
-0,64168420;0,00000000
-0,64008420;0,78740150
-0,63848420;1,18110200
-0,63688420;1,18110200
-0,63528420;1,18110200
-0,63368420;1,57480300
-0,63208420;1,18110200
-0,63048420;0,78740150
-0,62888420;0,39370070
-0,62728420;0,00000000
-0,62568420;1,18110200
-0,62408420;1,18110200
-0,62248420;0,78740150
-0,62088420;0,78740150
-0,61928420;0,78740150
-0,61768420;0,78740150
-0,61608420;0,78740150
-0,61448420;0,78740150
-0,61288420;0,78740150
-0,61128420;0,78740150
-0,60968420;1,18110200
-0,60808420;0,78740150
-0,60648420;0,78740150
-0,60488420;0,78740150
-0,60328420;1,57480300
-0,60168420;0,78740150
-0,60008420;1,18110200
-0,59848420;1,57480300
-0,59688420;1,18110200
-0,59528420;1,18110200
-0,59368420;1,18110200
-0,59208420;0,78740150
-0,59048420;0,78740150
-0,58888420;0,78740150
-0,58728420;0,78740150
-0,58568420;1,18110200
-0,58408420;1,18110200
-0,58248420;1,18110200
-0,58088420;0,78740150
-0,57928420;1,18110200
-0,57768420;1,18110200
-0,57608420;0,78740150
-0,57448420;0,00000000
-0,57288420;1,18110200
-0,57128420;1,18110200
-0,56968420;1,18110200
-0,56808420;1,18110200
-0,56648420;1,57480300
-0,56488420;1,18110200
-0,56328420;0,39370070
-0,56168420;1,18110200
-0,56008420;0,78740150
-0,55848420;0,78740150
-0,55688420;1,18110200
-0,55528420;0,78740150
-0,55368420;0,78740150
-0,55208420;0,78740150
-0,55048420;0,39370070
-0,54888420;0,78740150
-0,54728420;0,78740150
-0,54568420;1,18110200
-0,54408420;0,78740150
-0,54248420;1,18110200
-0,54088420;1,18110200
-0,53928420;0,78740150
-0,53768420;1,18110200
-0,53608420;0,78740150
-0,53448420;0,78740150
-0,53288420;1,18110200
-0,53128420;0,78740150
-0,52968420;1,18110200
-0,52808420;1,57480300
-0,52648420;1,57480300
-0,52488420;1,18110200
-0,52328420;0,39370070
-0,52168420;1,18110200
-0,52008420;1,18110200
-0,51848420;0,39370070
-0,51688420;1,18110200
-0,51528420;1,18110200
-0,51368420;0,78740150
-0,51208420;0,78740150
-0,51048420;1,18110200
-0,50888420;0,39370070
-0,50728420;1,18110200
-0,50568420;0,39370070
-0,50408420;0,00000000
-0,50248420;0,78740150
-0,50088420;0,78740150
-0,49928420;1,57480300
-0,49768420;1,18110200
-0,49608420;1,18110200
-0,49448420;0,78740150
-0,49288420;1,57480300
-0,49128420;1,57480300
-0,48968420;1,18110200
-0,48808420;1,18110200
-0,48648420;1,18110200
-0,48488420;0,78740150
-0,48328420;0,78740150
-0,48168420;1,18110200
-0,48008420;1,57480300
-0,47848420;1,18110200
-0,47688420;1,18110200
-0,47528420;-0,39370070
-0,47368420;0,39370070
-0,47208420;1,57480300
-0,47048420;0,78740150
-0,46888420;0,39370070
-0,46728420;0,78740150
-0,46568420;0,78740150
-0,46408420;1,18110200
-0,46248420;0,39370070
-0,46088420;1,18110200
-0,45928420;1,18110200
-0,45768420;0,78740150
-0,45608420;1,57480300
-0,45448420;1,57480300
-0,45288420;1,57480300
-0,45128420;1,18110200
-0,44968420;1,18110200
-0,44808420;0,78740150
-0,44648420;1,18110200
-0,44488420;1,18110200
-0,44328420;1,18110200
-0,44168420;1,96850400
-0,44008420;1,57480300
-0,43848420;1,18110200
-0,43688420;0,78740150
-0,43528420;1,18110200
-0,43368420;1,18110200
-0,43208420;0,78740150
-0,43048420;0,78740150
-0,42888420;0,39370070
-0,42728420;0,78740150
-0,42568420;1,18110200
-0,42408420;1,18110200
-0,42248420;0,78740150
-0,42088420;1,18110200
-0,41928420;1,18110200
-0,41768420;0,39370070
-0,41608420;0,78740150
-0,41448420;1,57480300
-0,41288420;0,78740150
-0,41128420;1,18110200
-0,40968420;1,18110200
-0,40808420;1,57480300
-0,40648420;1,18110200
-0,40488420;0,39370070
-0,40328420;1,18110200
-0,40168420;0,39370070
-0,40008420;0,39370070
-0,39848420;0,78740150
-0,39688420;0,39370070
-0,39528420;1,57480300
-0,39368420;0,78740150
-0,39208420;0,78740150
-0,39048420;0,78740150
-0,38888420;0,78740150
-0,38728420;1,57480300
-0,38568420;1,18110200
-0,38408420;1,18110200
-0,38248420;1,18110200
-0,38088420;1,57480300
-0,37928420;1,96850400
-0,37768420;0,78740150
-0,37608420;0,78740150
-0,37448420;0,39370070
-0,37288420;1,18110200
-0,37128420;0,78740150
-0,36968420;1,18110200
-0,36808420;1,18110200
-0,36648420;0,78740150
-0,36488420;0,39370070
-0,36328420;1,18110200
-0,36168420;1,57480300
-0,36008420;1,18110200
-0,35848420;0,78740150
-0,35688420;1,57480300
-0,35528420;0,78740150
-0,35368420;1,18110200
-0,35208420;0,78740150
-0,35048420;1,96850400
-0,34888420;1,57480300
-0,34728420;1,18110200
-0,34568420;1,57480300
-0,34408420;1,57480300
-0,34248420;1,18110200
-0,34088420;1,18110200
-0,33928420;0,78740150
-0,33768420;0,78740150
-0,33608420;1,18110200
-0,33448420;1,18110200
-0,33288420;1,18110200
-0,33128420;0,78740150
-0,32968420;1,57480300
-0,32808420;1,18110200
-0,32648420;0,78740150
-0,32488420;1,18110200
-0,32328420;1,18110200
-0,32168420;1,18110200
-0,32008420;1,18110200
-0,31848420;0,78740150
-0,31688420;0,78740150
-0,31528420;1,18110200
-0,31368420;1,18110200
-0,31208420;0,00000000
-0,31048420;1,57480300
-0,30888420;0,78740150
-0,30728420;0,00000000
-0,30568420;1,18110200
-0,30408420;0,78740150
-0,30248420;0,78740150
-0,30088420;0,78740150
-0,29928420;1,18110200
-0,29768420;1,18110200
-0,29608420;0,78740150
-0,29448420;1,18110200
-0,29288420;1,18110200
-0,29128420;1,18110200
-0,28968420;1,18110200
-0,28808419;1,18110200
-0,28648419;0,78740150
-0,28488419;0,39370070
-0,28328419;1,57480300
-0,28168419;1,18110200
-0,28008419;1,18110200
-0,27848419;0,78740150
-0,27688419;2,36220500
-0,27528419;1,18110200
-0,27368419;0,78740150
-0,27208419;0,78740150
-0,27048419;1,18110200
-0,26888419;1,57480300
-0,26728419;1,18110200
-0,26568419;0,39370070
-0,26408419;0,39370070
-0,26248419;1,57480300
-0,26088419;0,78740150
-0,25928419;1,18110200
-0,25768419;1,18110200
-0,25608419;1,18110200
-0,25448419;-0,39370070
-0,25288419;1,57480300
-0,25128419;1,18110200
-0,24968419;1,18110200
-0,24808419;1,96850400
-0,24648419;1,57480300
-0,24488419;0,78740150
-0,24328419;1,18110200
-0,24168419;0,00000000
-0,24008419;0,78740150
-0,23848419;1,18110200
-0,23688419;1,18110200
-0,23528419;1,57480300
-0,23368419;1,18110200
-0,23208419;1,57480300
-0,23048419;1,18110200
-0,22888419;1,18110200
-0,22728419;1,57480300
-0,22568419;1,96850400
-0,22408419;1,18110200
-0,22248419;1,18110200
-0,22088419;1,18110200
-0,21928419;0,78740150
-0,21768419;0,78740150
-0,21608419;1,18110200
-0,21448419;0,78740150
-0,21288419;1,57480300
-0,21128419;1,18110200
-0,20968419;0,78740150
-0,20808419;1,18110200
-0,20648419;1,57480300
-0,20488419;0,39370070
-0,20328419;0,78740150
-0,20168419;1,18110200
-0,20008419;1,57480300
-0,19848419;0,78740150
-0,19688419;1,18110200
-0,19528419;1,57480300
-0,19368419;1,96850400
-0,19208419;1,96850400
-0,19048419;1,18110200
-0,18888419;0,00000000
-0,18728419;1,18110200
-0,18568419;0,00000000
-0,18408419;0,39370070
-0,18248419;1,18110200
-0,18088419;1,18110200
-0,17928419;0,00000000
-0,17768419;0,39370070
-0,17608419;0,39370070
-0,17448419;1,18110200
-0,17288419;0,78740150
-0,17128419;0,39370070
-0,16968419;0,00000000
-0,16808419;1,18110200
-0,16648419;0,78740150
-0,16488419;1,57480300
-0,16328419;1,57480300
-0,16168419;1,18110200
-0,16008419;1,18110200
-0,15848419;1,18110200
-0,15688419;1,18110200
-0,15528419;1,57480300
-0,15368419;1,18110200
-0,15208419;0,78740150
-0,15048419;0,78740150
-0,14888419;0,78740150
-0,14728419;1,18110200
-0,14568419;1,18110200
-0,14408419;1,18110200
-0,14248419;1,18110200
-0,14088419;2,36220500
-0,13928419;1,57480300
-0,13768419;0,78740150
-0,13608419;1,57480300
-0,13448419;0,00000000
