Time;Channel B
(us);(mV)

-0,94185999;0,78740150
-0,94025999;0,78740150
-0,93865999;1,18110200
-0,93705999;0,39370070
-0,93545999;1,18110200
-0,93385999;1,18110200
-0,93225999;0,78740150
-0,93065999;0,39370070
-0,92905999;1,18110200
-0,92745999;0,78740150
-0,92585999;0,78740150
-0,92425999;0,78740150
-0,92265999;1,57480300
-0,92105999;1,57480300
-0,91945999;0,78740150
-0,91785999;0,78740150
-0,91625999;1,18110200
-0,91465999;0,78740150
-0,91305999;0,39370070
-0,91145999;0,00000000
-0,90985999;-0,39370070
-0,90825999;0,39370070
-0,90665999;1,18110200
-0,90505999;1,18110200
-0,90345999;0,78740150
-0,90185999;1,96850400
-0,90025999;1,18110200
-0,89865999;-0,39370070
-0,89705999;0,39370070
-0,89545999;0,00000000
-0,89385999;1,18110200
-0,89225999;0,00000000
-0,89065999;0,00000000
-0,88905999;1,18110200
-0,88745999;1,18110200
-0,88585999;1,18110200
-0,88425999;0,78740150
-0,88265999;-0,78740150
-0,88105999;0,78740150
-0,87945999;1,18110200
-0,87785999;0,00000000
-0,87625999;0,39370070
-0,87465999;0,78740150
-0,87305999;0,39370070
-0,87145999;1,18110200
-0,86985999;0,78740150
-0,86825999;0,78740150
-0,86665999;0,39370070
-0,86505999;0,39370070
-0,86345999;1,18110200
-0,86185999;0,39370070
-0,86025999;0,78740150
-0,85865999;0,39370070
-0,85705999;0,78740150
-0,85545999;1,18110200
-0,85385999;0,78740150
-0,85225999;0,78740150
-0,85065999;0,78740150
-0,84905999;0,39370070
-0,84745999;0,78740150
-0,84585999;0,39370070
-0,84425999;0,39370070
-0,84265999;0,39370070
-0,84105999;1,18110200
-0,83945999;1,18110200
-0,83785999;1,18110200
-0,83625999;0,39370070
-0,83465999;0,39370070
-0,83305999;0,39370070
-0,83145999;0,78740150
-0,82985999;1,18110200
-0,82825999;1,18110200
-0,82665999;0,78740150
-0,82505999;0,39370070
-0,82345999;0,39370070
-0,82185999;0,78740150
-0,82025999;1,18110200
-0,81865999;1,18110200
-0,81705999;0,78740150
-0,81545999;0,00000000
-0,81385999;0,39370070
-0,81225999;0,39370070
-0,81065999;1,18110200
-0,80905999;1,57480300
-0,80745999;0,39370070
-0,80585999;-0,39370070
-0,80425999;0,00000000
-0,80265999;0,78740150
-0,80105999;0,39370070
-0,79945999;0,39370070
-0,79785999;0,39370070
-0,79625999;0,39370070
-0,79465999;0,78740150
-0,79305999;0,00000000
-0,79145999;0,78740150
-0,78985999;0,39370070
-0,78825999;0,39370070
-0,78665999;1,18110200
-0,78505999;1,57480300
-0,78345999;0,39370070
-0,78185999;0,39370070
-0,78025999;0,39370070
-0,77865999;1,18110200
-0,77705999;1,18110200
-0,77545999;1,18110200
-0,77385999;0,39370070
-0,77225999;0,39370070
-0,77065999;0,00000000
-0,76905999;0,78740150
-0,76745999;1,18110200
-0,76585999;0,39370070
-0,76425999;1,18110200
-0,76265999;0,39370070
-0,76105999;0,39370070
-0,75945999;1,18110200
-0,75785999;1,57480300
-0,75625999;0,78740150
-0,75465999;1,18110200
-0,75305999;0,78740150
-0,75145999;1,18110200
-0,74985999;0,39370070
-0,74825999;4,33070900
-0,74665999;5,51181100
-0,74505999;5,90551100
-0,74345999;5,11811000
-0,74185999;4,72440900
-0,74025999;4,33070900
-0,73865999;3,54330700
-0,73705999;2,75590500
-0,73545999;1,96850400
-0,73385999;2,75590500
-0,73225999;1,18110200
-0,73065999;1,96850400
-0,72905999;2,36220500
-0,72745999;1,18110200
-0,72585999;1,96850400
-0,72425999;1,57480300
-0,72265999;1,18110200
-0,72105999;1,18110200
-0,71945999;1,18110200
-0,71785999;1,18110200
-0,71625999;1,96850400
-0,71465999;1,18110200
-0,71305999;1,18110200
-0,71145999;0,39370070
-0,70985999;0,78740150
-0,70825999;0,78740150
-0,70665999;0,39370070
-0,70505999;0,00000000
-0,70345999;1,18110200
-0,70185999;0,78740150
-0,70025999;0,39370070
-0,69865999;1,18110200
-0,69705999;1,57480300
-0,69545999;0,78740150
-0,69385999;0,00000000
-0,69225999;0,39370070
-0,69065999;0,78740150
-0,68905999;0,78740150
-0,68745999;0,00000000
-0,68585999;0,39370070
-0,68425999;0,39370070
-0,68265999;0,78740150
-0,68105999;0,39370070
-0,67945999;0,39370070
-0,67785999;0,78740150
-0,67625999;0,78740150
-0,67465999;0,39370070
-0,67305999;0,78740150
-0,67145999;1,18110200
-0,66985999;0,39370070
-0,66825999;0,78740150
-0,66665999;0,78740150
-0,66505999;1,18110200
-0,66345999;0,78740150
-0,66185999;-0,39370070
-0,66025999;0,39370070
-0,65865999;0,78740150
-0,65705999;0,39370070
-0,65545999;1,18110200
-0,65385999;1,18110200
-0,65225999;0,39370070
-0,65065999;0,39370070
-0,64905999;0,39370070
-0,64745999;0,78740150
-0,64585999;0,78740150
-0,64425999;0,78740150
-0,64265999;1,18110200
-0,64105999;0,39370070
-0,63945999;0,00000000
-0,63785999;0,00000000
-0,63625999;0,00000000
-0,63465999;0,78740150
-0,63305999;0,78740150
-0,63145999;0,39370070
-0,62985999;0,00000000
-0,62825999;0,78740150
-0,62665999;0,78740150
-0,62505999;0,78740150
-0,62345999;0,78740150
-0,62185999;0,78740150
-0,62025999;1,18110200
-0,61865999;0,00000000
-0,61705999;0,78740150
-0,61545999;0,00000000
-0,61385999;0,78740150
-0,61225999;0,78740150
-0,61065999;0,78740150
-0,60905999;0,00000000
-0,60745999;0,00000000
-0,60585999;1,18110200
-0,60425999;-0,39370070
-0,60265999;-0,39370070
-0,60105999;1,18110200
-0,59945999;0,00000000
-0,59785999;0,00000000
-0,59625999;0,78740150
-0,59465999;0,39370070
-0,59305999;0,78740150
-0,59145999;0,39370070
-0,58985999;0,78740150
-0,58825999;0,00000000
-0,58665999;0,39370070
-0,58505999;0,39370070
-0,58345999;0,39370070
-0,58185999;1,18110200
-0,58025999;0,78740150
-0,57865999;0,00000000
-0,57705999;0,00000000
-0,57545999;0,39370070
-0,57385999;1,18110200
-0,57225999;1,18110200
-0,57065999;1,18110200
-0,56905999;1,18110200
-0,56745999;1,18110200
-0,56585999;0,00000000
-0,56425999;0,78740150
-0,56265999;0,39370070
-0,56105999;1,18110200
-0,55945999;0,78740150
-0,55785999;0,00000000
-0,55625999;1,18110200
-0,55465999;0,78740150
-0,55305999;1,18110200
-0,55145999;1,18110200
-0,54985999;4,72440900
-0,54825999;4,33070900
-0,54665999;5,11811000
-0,54505999;5,11811000
-0,54345999;5,11811000
-0,54185999;2,75590500
-0,54025999;2,75590500
-0,53865999;2,75590500
-0,53705999;2,36220500
-0,53545999;1,96850400
-0,53385999;1,96850400
-0,53225999;1,18110200
-0,53065999;2,36220500
-0,52905999;1,57480300
-0,52745999;1,18110200
-0,52585999;1,18110200
-0,52425999;1,18110200
-0,52265999;0,00000000
-0,52105999;1,57480300
-0,51945999;0,39370070
-0,51785999;0,78740150
-0,51625999;0,78740150
-0,51465999;1,18110200
-0,51305999;0,78740150
-0,51145999;0,39370070
-0,50985999;1,18110200
-0,50825999;1,18110200
-0,50665999;1,96850400
-0,50505999;1,57480300
-0,50345999;0,78740150
-0,50185999;1,18110200
-0,50025999;0,78740150
-0,49865999;0,78740150
-0,49705999;1,18110200
-0,49545999;0,00000000
-0,49385999;0,00000000
-0,49225999;0,39370070
-0,49065999;0,00000000
-0,48905999;-0,39370070
-0,48745999;0,78740150
-0,48585999;0,39370070
-0,48425999;0,78740150
-0,48265999;0,78740150
-0,48105999;0,78740150
-0,47945999;0,39370070
-0,47785999;1,57480300
-0,47625999;1,18110200
-0,47465999;0,39370070
-0,47305999;0,39370070
-0,47145999;1,18110200
-0,46985999;-0,39370070
-0,46825999;0,00000000
-0,46665999;0,00000000
-0,46505999;0,39370070
-0,46345999;0,39370070
-0,46185999;0,39370070
-0,46025999;0,39370070
-0,45865999;0,78740150
-0,45705999;1,57480300
-0,45545999;0,39370070
-0,45385999;0,39370070
-0,45225999;-0,39370070
-0,45065999;0,39370070
-0,44905999;1,18110200
-0,44745999;0,39370070
-0,44585999;0,39370070
-0,44425999;0,39370070
-0,44265999;1,18110200
-0,44105999;0,39370070
-0,43945999;0,39370070
-0,43785999;0,78740150
-0,43625999;0,39370070
-0,43465999;0,00000000
-0,43305999;0,78740150
-0,43145999;1,18110200
-0,42985999;0,39370070
-0,42825999;1,57480300
-0,42665999;1,18110200
-0,42505999;0,00000000
-0,42345999;0,78740150
-0,42185999;0,39370070
-0,42025999;0,78740150
-0,41865999;0,39370070
-0,41705999;0,39370070
-0,41545999;1,18110200
-0,41385999;0,00000000
-0,41225999;0,39370070
-0,41065999;0,39370070
-0,40905999;0,39370070
-0,40745999;1,18110200
-0,40585999;0,00000000
-0,40425999;0,78740150
-0,40265999;0,39370070
-0,40105999;0,39370070
-0,39945999;0,00000000
-0,39785999;0,00000000
-0,39625999;0,78740150
-0,39465999;0,39370070
-0,39305999;0,78740150
-0,39145999;0,78740150
-0,38985999;1,18110200
-0,38825999;0,78740150
-0,38665999;1,18110200
-0,38505999;1,18110200
-0,38345999;0,39370070
-0,38185999;0,00000000
-0,38025999;0,78740150
-0,37865999;0,00000000
-0,37705999;1,57480300
-0,37545999;0,00000000
-0,37385999;1,18110200
-0,37225999;-0,39370070
-0,37065999;0,39370070
-0,36905999;0,00000000
-0,36745999;0,00000000
-0,36585999;0,78740150
-0,36425998;1,57480300
-0,36265998;0,78740150
-0,36105998;0,78740150
-0,35945998;0,39370070
-0,35785998;0,78740150
-0,35625998;1,57480300
-0,35465998;0,78740150
-0,35305998;0,78740150
-0,35145998;0,78740150
-0,34985998;0,78740150
-0,34825998;1,18110200
-0,34665998;0,78740150
-0,34505998;0,00000000
-0,34345998;0,39370070
-0,34185998;0,39370070
-0,34025998;0,78740150
-0,33865998;0,78740150
-0,33705998;0,78740150
-0,33545998;1,18110200
-0,33385998;0,39370070
-0,33225998;0,78740150
-0,33065998;0,78740150
-0,32905998;0,39370070
-0,32745998;1,57480300
-0,32585998;0,39370070
-0,32425998;0,78740150
-0,32265998;0,78740150
-0,32105998;0,00000000
-0,31945998;0,39370070
-0,31785998;0,39370070
-0,31625998;1,18110200
-0,31465998;0,78740150
-0,31305998;0,78740150
-0,31145998;0,78740150
-0,30985998;0,78740150
-0,30825998;1,18110200
-0,30665998;0,78740150
-0,30505998;0,39370070
-0,30345998;0,78740150
-0,30185998;0,00000000
-0,30025998;0,39370070
-0,29865998;1,18110200
-0,29705998;0,00000000
-0,29545998;1,57480300
-0,29385998;1,18110200
-0,29225998;0,78740150
-0,29065998;1,18110200
-0,28905998;0,00000000
-0,28745998;0,00000000
-0,28585998;1,18110200
-0,28425998;0,39370070
-0,28265998;0,78740150
-0,28105998;0,00000000
-0,27945998;1,18110200
-0,27785998;0,39370070
-0,27625998;1,57480300
-0,27465998;0,78740150
-0,27305998;0,78740150
-0,27145998;1,18110200
-0,26985998;1,18110200
-0,26825998;1,18110200
-0,26665998;0,78740150
-0,26505998;0,39370070
-0,26345998;0,00000000
-0,26185998;0,78740150
-0,26025998;0,39370070
-0,25865998;0,78740150
-0,25705998;0,00000000
-0,25545998;0,39370070
-0,25385998;0,39370070
-0,25225998;0,00000000
-0,25065998;0,00000000
-0,24905998;1,18110200
-0,24745998;1,18110200
-0,24585998;1,57480300
-0,24425998;1,18110200
-0,24265998;1,18110200
-0,24105998;1,18110200
-0,23945998;0,78740150
-0,23785998;0,00000000
-0,23625998;0,00000000
-0,23465998;1,18110200
-0,23305998;0,78740150
-0,23145998;0,00000000
-0,22985998;0,78740150
-0,22825998;0,78740150
-0,22665998;0,78740150
-0,22505998;1,18110200
-0,22345998;1,18110200
-0,22185998;0,78740150
-0,22025998;1,18110200
-0,21865998;0,78740150
-0,21705998;1,18110200
-0,21545998;1,18110200
-0,21385998;0,39370070
-0,21225998;0,00000000
-0,21065998;0,39370070
-0,20905998;0,78740150
-0,20745998;0,78740150
-0,20585998;0,39370070
-0,20425998;0,00000000
-0,20265998;0,78740150
-0,20105998;1,18110200
-0,19945998;0,39370070
-0,19785998;1,18110200
-0,19625998;1,18110200
-0,19465998;0,39370070
-0,19305998;1,18110200
-0,19145998;1,57480300
-0,18985998;1,57480300
-0,18825998;0,78740150
-0,18665998;0,39370070
-0,18505998;0,78740150
-0,18345998;1,18110200
-0,18185998;0,39370070
-0,18025998;1,57480300
-0,17865998;1,18110200
-0,17705998;1,57480300
-0,17545998;0,39370070
-0,17385998;0,39370070
-0,17225998;0,78740150
-0,17065998;1,18110200
-0,16905998;0,78740150
-0,16745998;0,39370070
-0,16585998;0,78740150
-0,16425998;0,00000000
-0,16265998;0,39370070
-0,16105998;0,78740150
-0,15945998;0,78740150
-0,15785998;0,39370070
-0,15625998;0,78740150
-0,15465998;1,57480300
-0,15305998;0,78740150
-0,15145998;0,39370070
-0,14985998;0,78740150
-0,14825998;0,39370070
-0,14665998;1,18110200
-0,14505998;0,00000000
-0,14345998;1,57480300
-0,14185998;1,18110200
-0,14025998;0,78740150
-0,13865998;0,78740150
-0,13705998;0,78740150
-0,13545998;1,18110200
