Ref,Val,Package,PosX,PosY,Rot,Side
"C147","1pF","C_0201_0603Metric",131.164999,100.045000,180.000000,bottom
"C147","1pF","C_0201_0603Metric",62.084999,16.045000,180.000000,bottom
"C147","1pF","C_0201_0603Metric",62.084999,58.045000,180.000000,bottom
"C147","1pF","C_0201_0603Metric",27.544999,58.045000,180.000000,bottom
"C147","1pF","C_0201_0603Metric",62.084999,142.045000,180.000000,bottom
"C147","1pF","C_0201_0603Metric",96.624999,100.045000,180.000000,bottom
"C147","1pF","C_0201_0603Metric",27.544999,142.045000,180.000000,bottom
"C148","1nF","C_0201_0603Metric",83.824999,107.265000,180.000000,bottom
"C148","1nF","C_0201_0603Metric",14.744999,23.265000,180.000000,bottom
"C148","1nF","C_0201_0603Metric",83.824999,149.265000,180.000000,bottom
"C148","1nF","C_0201_0603Metric",14.744999,107.265000,180.000000,bottom
"C148","1nF","C_0201_0603Metric",49.284999,149.265000,180.000000,bottom
"C148","1nF","C_0201_0603Metric",118.364999,65.265000,180.000000,bottom
"C148","1nF","C_0201_0603Metric",49.284999,65.265000,180.000000,bottom
"C148","1nF","C_0201_0603Metric",14.744999,65.265000,180.000000,bottom
"C148","1nF","C_0201_0603Metric",118.364999,107.265000,180.000000,bottom
"C148","1nF","C_0201_0603Metric",49.284999,107.265000,180.000000,bottom
"C148","1nF","C_0201_0603Metric",83.824999,23.265000,180.000000,bottom
"C148","1nF","C_0201_0603Metric",49.284999,23.265000,180.000000,bottom
"C148","1nF","C_0201_0603Metric",83.824999,65.265000,180.000000,bottom
"C148","1nF","C_0201_0603Metric",14.744999,149.265000,180.000000,bottom
"C148","1nF","C_0201_0603Metric",118.364999,149.265000,180.000000,bottom
"C148","1nF","C_0201_0603Metric",118.364999,23.265000,180.000000,bottom
"C149","100nF","C_0201_0603Metric",16.194999,106.725000,180.000000,bottom
"C149","100nF","C_0201_0603Metric",85.274999,22.725000,180.000000,bottom
"C149","100nF","C_0201_0603Metric",119.814999,64.725000,180.000000,bottom
"C149","100nF","C_0201_0603Metric",50.734999,148.725000,180.000000,bottom
"C149","100nF","C_0201_0603Metric",50.734999,64.725000,180.000000,bottom
"C149","100nF","C_0201_0603Metric",85.274999,64.725000,180.000000,bottom
"C149","100nF","C_0201_0603Metric",16.194999,148.725000,180.000000,bottom
"C149","100nF","C_0201_0603Metric",119.814999,106.725000,180.000000,bottom
"C149","100nF","C_0201_0603Metric",16.194999,64.725000,180.000000,bottom
"C149","100nF","C_0201_0603Metric",16.194999,22.725000,180.000000,bottom
"C149","100nF","C_0201_0603Metric",119.814999,22.725000,180.000000,bottom
"C149","100nF","C_0201_0603Metric",119.814999,148.725000,180.000000,bottom
"C149","100nF","C_0201_0603Metric",85.274999,106.725000,180.000000,bottom
"C149","100nF","C_0201_0603Metric",50.734999,106.725000,180.000000,bottom
"C149","100nF","C_0201_0603Metric",50.734999,22.725000,180.000000,bottom
"C149","100nF","C_0201_0603Metric",85.274999,148.725000,180.000000,bottom
"C150","1pF","C_0201_0603Metric",118.364999,106.725000,180.000000,bottom
"C150","1pF","C_0201_0603Metric",14.744999,64.725000,180.000000,bottom
"C150","1pF","C_0201_0603Metric",14.744999,106.725000,180.000000,bottom
"C150","1pF","C_0201_0603Metric",83.824999,106.725000,180.000000,bottom
"C150","1pF","C_0201_0603Metric",118.364999,22.725000,180.000000,bottom
"C150","1pF","C_0201_0603Metric",83.824999,64.725000,180.000000,bottom
"C150","1pF","C_0201_0603Metric",49.284999,22.725000,180.000000,bottom
"C150","1pF","C_0201_0603Metric",83.824999,22.725000,180.000000,bottom
"C150","1pF","C_0201_0603Metric",118.364999,148.725000,180.000000,bottom
"C150","1pF","C_0201_0603Metric",118.364999,64.725000,180.000000,bottom
"C150","1pF","C_0201_0603Metric",49.284999,148.725000,180.000000,bottom
"C150","1pF","C_0201_0603Metric",14.744999,148.725000,180.000000,bottom
"C150","1pF","C_0201_0603Metric",14.744999,22.725000,180.000000,bottom
"C150","1pF","C_0201_0603Metric",49.284999,64.725000,180.000000,bottom
"C150","1pF","C_0201_0603Metric",83.824999,148.725000,180.000000,bottom
"C150","1pF","C_0201_0603Metric",49.284999,106.725000,180.000000,bottom
"C151","1nF","C_0201_0603Metric",85.274999,62.275000,180.000000,bottom
"C151","1nF","C_0201_0603Metric",16.194999,20.275000,180.000000,bottom
"C151","1nF","C_0201_0603Metric",119.814999,104.275000,180.000000,bottom
"C151","1nF","C_0201_0603Metric",16.194999,62.275000,180.000000,bottom
"C151","1nF","C_0201_0603Metric",50.734999,104.275000,180.000000,bottom
"C151","1nF","C_0201_0603Metric",50.734999,62.275000,180.000000,bottom
"C151","1nF","C_0201_0603Metric",50.734999,20.275000,180.000000,bottom
"C151","1nF","C_0201_0603Metric",85.274999,104.275000,180.000000,bottom
"C151","1nF","C_0201_0603Metric",119.814999,62.275000,180.000000,bottom
"C151","1nF","C_0201_0603Metric",119.814999,146.275000,180.000000,bottom
"C151","1nF","C_0201_0603Metric",16.194999,146.275000,180.000000,bottom
"C151","1nF","C_0201_0603Metric",119.814999,20.275000,180.000000,bottom
"C151","1nF","C_0201_0603Metric",85.274999,20.275000,180.000000,bottom
"C151","1nF","C_0201_0603Metric",50.734999,146.275000,180.000000,bottom
"C151","1nF","C_0201_0603Metric",16.194999,104.275000,180.000000,bottom
"C151","1nF","C_0201_0603Metric",85.274999,146.275000,180.000000,bottom
"C152","1pF","C_0201_0603Metric",14.744999,20.275000,180.000000,bottom
"C152","1pF","C_0201_0603Metric",83.824999,20.275000,180.000000,bottom
"C152","1pF","C_0201_0603Metric",118.364999,20.275000,180.000000,bottom
"C152","1pF","C_0201_0603Metric",83.824999,146.275000,180.000000,bottom
"C152","1pF","C_0201_0603Metric",118.364999,62.275000,180.000000,bottom
"C152","1pF","C_0201_0603Metric",83.824999,104.275000,180.000000,bottom
"C152","1pF","C_0201_0603Metric",49.284999,146.275000,180.000000,bottom
"C152","1pF","C_0201_0603Metric",83.824999,62.275000,180.000000,bottom
"C152","1pF","C_0201_0603Metric",14.744999,146.275000,180.000000,bottom
"C152","1pF","C_0201_0603Metric",118.364999,104.275000,180.000000,bottom
"C152","1pF","C_0201_0603Metric",14.744999,104.275000,180.000000,bottom
"C152","1pF","C_0201_0603Metric",49.284999,20.275000,180.000000,bottom
"C152","1pF","C_0201_0603Metric",14.744999,62.275000,180.000000,bottom
"C152","1pF","C_0201_0603Metric",118.364999,146.275000,180.000000,bottom
"C152","1pF","C_0201_0603Metric",49.284999,62.275000,180.000000,bottom
"C152","1pF","C_0201_0603Metric",49.284999,104.275000,180.000000,bottom
"C153","1nF","C_0201_0603Metric",134.364999,19.035000,180.000000,bottom
"C153","1nF","C_0201_0603Metric",30.744999,145.035000,180.000000,bottom
"C153","1nF","C_0201_0603Metric",65.284999,145.035000,180.000000,bottom
"C153","1nF","C_0201_0603Metric",65.284999,19.035000,180.000000,bottom
"C153","1nF","C_0201_0603Metric",99.824999,19.035000,180.000000,bottom
"C153","1nF","C_0201_0603Metric",30.744999,103.035000,180.000000,bottom
"C153","1nF","C_0201_0603Metric",134.364999,145.035000,180.000000,bottom
"C153","1nF","C_0201_0603Metric",30.744999,61.035000,180.000000,bottom
"C153","1nF","C_0201_0603Metric",134.364999,103.035000,180.000000,bottom
"C153","1nF","C_0201_0603Metric",65.284999,103.035000,180.000000,bottom
"C153","1nF","C_0201_0603Metric",99.824999,103.035000,180.000000,bottom
"C153","1nF","C_0201_0603Metric",134.364999,61.035000,180.000000,bottom
"C153","1nF","C_0201_0603Metric",30.744999,19.035000,180.000000,bottom
"C153","1nF","C_0201_0603Metric",65.284999,61.035000,180.000000,bottom
"C153","1nF","C_0201_0603Metric",99.824999,61.035000,180.000000,bottom
"C153","1nF","C_0201_0603Metric",99.824999,145.035000,180.000000,bottom
"C154","100nF","C_0201_0603Metric",32.194999,102.495000,180.000000,bottom
"C154","100nF","C_0201_0603Metric",135.814999,144.495000,180.000000,bottom
"C154","100nF","C_0201_0603Metric",101.274999,144.495000,180.000000,bottom
"C154","100nF","C_0201_0603Metric",135.814999,18.495000,180.000000,bottom
"C154","100nF","C_0201_0603Metric",66.734999,18.495000,180.000000,bottom
"C154","100nF","C_0201_0603Metric",32.194999,60.495000,180.000000,bottom
"C154","100nF","C_0201_0603Metric",135.814999,102.495000,180.000000,bottom
"C154","100nF","C_0201_0603Metric",32.194999,144.495000,180.000000,bottom
"C154","100nF","C_0201_0603Metric",135.814999,60.495000,180.000000,bottom
"C154","100nF","C_0201_0603Metric",66.734999,144.495000,180.000000,bottom
"C154","100nF","C_0201_0603Metric",101.274999,102.495000,180.000000,bottom
"C154","100nF","C_0201_0603Metric",66.734999,102.495000,180.000000,bottom
"C154","100nF","C_0201_0603Metric",66.734999,60.495000,180.000000,bottom
"C154","100nF","C_0201_0603Metric",32.194999,18.495000,180.000000,bottom
"C154","100nF","C_0201_0603Metric",101.274999,18.495000,180.000000,bottom
"C154","100nF","C_0201_0603Metric",101.274999,60.495000,180.000000,bottom
"C155","1pF","C_0201_0603Metric",30.744999,144.495000,180.000000,bottom
"C155","1pF","C_0201_0603Metric",30.744999,102.495000,180.000000,bottom
"C155","1pF","C_0201_0603Metric",30.744999,60.495000,180.000000,bottom
"C155","1pF","C_0201_0603Metric",99.824999,102.495000,180.000000,bottom
"C155","1pF","C_0201_0603Metric",99.824999,144.495000,180.000000,bottom
"C155","1pF","C_0201_0603Metric",65.284999,144.495000,180.000000,bottom
"C155","1pF","C_0201_0603Metric",65.284999,18.495000,180.000000,bottom
"C155","1pF","C_0201_0603Metric",99.824999,18.495000,180.000000,bottom
"C155","1pF","C_0201_0603Metric",65.284999,60.495000,180.000000,bottom
"C155","1pF","C_0201_0603Metric",134.364999,102.495000,180.000000,bottom
"C155","1pF","C_0201_0603Metric",134.364999,18.495000,180.000000,bottom
"C155","1pF","C_0201_0603Metric",30.744999,18.495000,180.000000,bottom
"C155","1pF","C_0201_0603Metric",65.284999,102.495000,180.000000,bottom
"C155","1pF","C_0201_0603Metric",134.364999,144.495000,180.000000,bottom
"C155","1pF","C_0201_0603Metric",99.824999,60.495000,180.000000,bottom
"C155","1pF","C_0201_0603Metric",134.364999,60.495000,180.000000,bottom
"C156","1nF","C_0201_0603Metric",32.194999,58.045000,180.000000,bottom
"C156","1nF","C_0201_0603Metric",66.734999,58.045000,180.000000,bottom
"C156","1nF","C_0201_0603Metric",101.274999,142.045000,180.000000,bottom
"C156","1nF","C_0201_0603Metric",32.194999,100.045000,180.000000,bottom
"C156","1nF","C_0201_0603Metric",135.814999,16.045000,180.000000,bottom
"C156","1nF","C_0201_0603Metric",135.814999,142.045000,180.000000,bottom
"C156","1nF","C_0201_0603Metric",32.194999,142.045000,180.000000,bottom
"C156","1nF","C_0201_0603Metric",32.194999,16.045000,180.000000,bottom
"C156","1nF","C_0201_0603Metric",135.814999,58.045000,180.000000,bottom
"C156","1nF","C_0201_0603Metric",66.734999,16.045000,180.000000,bottom
"C156","1nF","C_0201_0603Metric",101.274999,16.045000,180.000000,bottom
"C156","1nF","C_0201_0603Metric",101.274999,100.045000,180.000000,bottom
"C156","1nF","C_0201_0603Metric",66.734999,100.045000,180.000000,bottom
"C156","1nF","C_0201_0603Metric",66.734999,142.045000,180.000000,bottom
"C156","1nF","C_0201_0603Metric",101.274999,58.045000,180.000000,bottom
"C156","1nF","C_0201_0603Metric",135.814999,100.045000,180.000000,bottom
"C157","1pF","C_0201_0603Metric",134.364999,100.045000,180.000000,bottom
"C157","1pF","C_0201_0603Metric",99.824999,16.045000,180.000000,bottom
"C157","1pF","C_0201_0603Metric",65.284999,100.045000,180.000000,bottom
"C157","1pF","C_0201_0603Metric",134.364999,58.045000,180.000000,bottom
"C157","1pF","C_0201_0603Metric",99.824999,100.045000,180.000000,bottom
"C157","1pF","C_0201_0603Metric",134.364999,16.045000,180.000000,bottom
"C157","1pF","C_0201_0603Metric",30.744999,142.045000,180.000000,bottom
"C157","1pF","C_0201_0603Metric",65.284999,16.045000,180.000000,bottom
