Step,ToT (s)
333,2.54383e-09
334,2.5456e-09
335,2.54736e-09
336,2.54912e-09
337,2.55087e-09
338,2.55261e-09
339,2.55434e-09
340,2.55607e-09
341,2.5578e-09
342,2.55951e-09
343,2.56122e-09
344,2.56292e-09
345,2.56461e-09
346,2.5663e-09
347,2.56797e-09
348,2.56964e-09
349,2.5713e-09
350,2.57296e-09
351,2.5746e-09
352,2.57624e-09
353,2.57787e-09
354,2.5795e-09
355,2.58112e-09
356,2.58274e-09
357,2.58435e-09
358,2.58595e-09
359,2.58754e-09
360,2.58913e-09
361,2.59071e-09
362,2.59228e-09
363,2.59385e-09
364,2.59541e-09
365,2.59696e-09
366,2.5985e-09
367,2.60004e-09
368,2.60157e-09
369,2.60309e-09
370,2.60462e-09
371,2.60614e-09
372,2.60765e-09
373,2.60915e-09
374,2.61065e-09
375,2.61214e-09
376,2.61362e-09
377,2.6151e-09
378,2.61657e-09
379,2.61803e-09
380,2.61949e-09
381,2.62094e-09
382,2.62238e-09
383,2.62382e-09
384,2.62525e-09
385,2.62668e-09
386,2.62811e-09
387,2.62953e-09
388,2.63094e-09
389,2.63235e-09
390,2.63375e-09
391,2.63514e-09
392,2.63653e-09
393,2.63791e-09
394,2.63929e-09
395,2.64066e-09
396,2.64202e-09
397,2.64338e-09
398,2.64473e-09
399,2.64607e-09
400,2.64741e-09
401,2.64875e-09
402,2.65008e-09
403,2.65141e-09
404,2.65273e-09
405,2.65405e-09
406,2.65536e-09
407,2.65666e-09
408,2.65796e-09
409,2.65925e-09
410,2.66054e-09
411,2.66182e-09
412,2.6631e-09
413,2.66437e-09
414,2.66563e-09
415,2.66689e-09
416,2.66815e-09
417,2.66939e-09
418,2.67064e-09
419,2.67188e-09
420,2.67312e-09
421,2.67435e-09
422,2.67558e-09
423,2.6768e-09
424,2.67801e-09
425,2.67922e-09
426,2.68043e-09
427,2.68163e-09
428,2.68282e-09
429,2.68401e-09
430,2.68519e-09
431,2.68637e-09
432,2.68755e-09
433,2.68871e-09
434,2.68988e-09
435,2.69104e-09
436,2.6922e-09
437,2.69335e-09
438,2.6945e-09
439,2.69564e-09
440,2.69677e-09
441,2.69791e-09
442,2.69903e-09
443,2.70016e-09
444,2.70128e-09
445,2.70239e-09
446,2.7035e-09
447,2.7046e-09
448,2.7057e-09
449,2.70679e-09
450,2.70788e-09
451,2.70897e-09
452,2.71005e-09
453,2.71112e-09
454,2.71219e-09
455,2.71326e-09
456,2.71432e-09
457,2.71539e-09
458,2.71644e-09
459,2.71749e-09
460,2.71854e-09
461,2.71958e-09
462,2.72061e-09
463,2.72165e-09
464,2.72267e-09
465,2.7237e-09
466,2.72472e-09
467,2.72573e-09
468,2.72675e-09
469,2.72775e-09
470,2.72875e-09
471,2.72975e-09
472,2.73074e-09
473,2.73173e-09
474,2.73272e-09
475,2.7337e-09
476,2.73468e-09
477,2.73565e-09
478,2.73662e-09
479,2.73759e-09
480,2.73855e-09
481,2.73951e-09
482,2.74046e-09
483,2.74141e-09
484,2.74236e-09
485,2.7433e-09
486,2.74424e-09
487,2.74517e-09
488,2.7461e-09
489,2.74702e-09
490,2.74795e-09
491,2.74886e-09
492,2.74978e-09
493,2.75069e-09
494,2.75159e-09
495,2.7525e-09
496,2.75339e-09
497,2.75429e-09
498,2.75518e-09
499,2.75607e-09
500,2.75695e-09
501,2.75783e-09
502,2.75871e-09
503,2.75958e-09
504,2.76045e-09
505,2.76131e-09
506,2.76218e-09
507,2.76303e-09
508,2.76389e-09
509,2.76474e-09
510,2.76559e-09
511,2.76643e-09
512,2.76727e-09
513,2.7681e-09
514,2.76894e-09
515,2.76977e-09
516,2.77059e-09
517,2.77141e-09
518,2.77223e-09
519,2.77305e-09
520,2.77386e-09
521,2.77467e-09
522,2.77547e-09
523,2.77627e-09
524,2.77707e-09
525,2.77786e-09
526,2.77865e-09
527,2.77944e-09
528,2.78023e-09
529,2.78101e-09
530,2.78179e-09
531,2.78256e-09
532,2.78333e-09
533,2.7841e-09
534,2.78486e-09
535,2.78562e-09
536,2.78638e-09
537,2.78713e-09
538,2.78788e-09
539,2.78863e-09
540,2.78938e-09
541,2.79012e-09
542,2.79086e-09
543,2.79159e-09
544,2.79232e-09
545,2.79305e-09
546,2.79377e-09
547,2.79449e-09
548,2.79521e-09
549,2.79593e-09
550,2.79664e-09
551,2.79735e-09
552,2.79805e-09
553,2.79875e-09
554,2.79945e-09
555,2.80015e-09
556,2.80084e-09
557,2.80153e-09
558,2.80222e-09
559,2.8029e-09
560,2.80358e-09
561,2.80426e-09
562,2.80493e-09
563,2.8056e-09
564,2.80627e-09
565,2.80694e-09
566,2.8076e-09
567,2.80826e-09
568,2.80892e-09
569,2.80957e-09
570,2.81022e-09
571,2.81087e-09
572,2.81151e-09
573,2.81216e-09
574,2.8128e-09
575,2.81343e-09
576,2.81407e-09
577,2.8147e-09
578,2.81533e-09
579,2.81595e-09
580,2.81658e-09
581,2.8172e-09
582,2.81781e-09
583,2.81843e-09
584,2.81904e-09
585,2.81965e-09
586,2.82025e-09
587,2.82086e-09
588,2.82146e-09
589,2.82206e-09
590,2.82265e-09
591,2.82325e-09
592,2.82384e-09
593,2.82443e-09
594,2.82501e-09
595,2.82559e-09
596,2.82617e-09
597,2.82675e-09
598,2.82733e-09
599,2.8279e-09
600,2.82847e-09
601,2.82904e-09
602,2.8296e-09
603,2.83017e-09
604,2.83073e-09
605,2.83129e-09
606,2.83184e-09
607,2.8324e-09
608,2.83295e-09
609,2.8335e-09
610,2.83404e-09
611,2.83459e-09
612,2.83513e-09
613,2.83567e-09
614,2.8362e-09
615,2.83674e-09
616,2.83727e-09
617,2.8378e-09
618,2.83833e-09
619,2.83885e-09
620,2.83938e-09
621,2.8399e-09
622,2.84042e-09
623,2.84093e-09
624,2.84145e-09
625,2.84196e-09
626,2.84247e-09
627,2.84298e-09
628,2.84348e-09
629,2.84399e-09
630,2.84449e-09
631,2.84499e-09
632,2.84548e-09
633,2.84598e-09
634,2.84647e-09
635,2.84696e-09
636,2.84745e-09
637,2.84794e-09
638,2.84842e-09
639,2.8489e-09
640,2.84938e-09
641,2.84986e-09
642,2.85034e-09
643,2.85081e-09
644,2.85128e-09
645,2.85175e-09
646,2.85222e-09
647,2.85268e-09
648,2.85315e-09
649,2.85361e-09
650,2.85407e-09
651,2.85452e-09
652,2.85498e-09
653,2.85543e-09
654,2.85588e-09
655,2.85633e-09
656,2.85678e-09
657,2.85723e-09
658,2.85767e-09
659,2.85811e-09
660,2.85855e-09
661,2.85899e-09
662,2.85942e-09
663,2.85986e-09
664,2.86029e-09
665,2.86072e-09
666,2.86115e-09
667,2.86158e-09
668,2.862e-09
669,2.86243e-09
670,2.86285e-09
671,2.86327e-09
672,2.86369e-09
673,2.8641e-09
674,2.86452e-09
675,2.86493e-09
676,2.86534e-09
677,2.86575e-09
678,2.86616e-09
679,2.86656e-09
680,2.86696e-09
681,2.86737e-09
682,2.86777e-09
683,2.86816e-09
684,2.86856e-09
685,2.86895e-09
686,2.86935e-09
687,2.86974e-09
688,2.87013e-09
