Step,ToT (s)
323,2.25116e-09
324,2.25251e-09
325,2.25385e-09
326,2.25518e-09
327,2.25651e-09
328,2.25784e-09
329,2.25916e-09
330,2.26047e-09
331,2.26178e-09
332,2.26307e-09
333,2.26437e-09
334,2.26565e-09
335,2.26693e-09
336,2.2682e-09
337,2.26947e-09
338,2.27073e-09
339,2.27198e-09
340,2.27323e-09
341,2.27447e-09
342,2.2757e-09
343,2.27693e-09
344,2.27815e-09
345,2.27937e-09
346,2.28058e-09
347,2.28178e-09
348,2.28298e-09
349,2.28417e-09
350,2.28536e-09
351,2.28655e-09
352,2.28772e-09
353,2.2889e-09
354,2.29006e-09
355,2.29122e-09
356,2.29238e-09
357,2.29352e-09
358,2.29467e-09
359,2.2958e-09
360,2.29694e-09
361,2.29806e-09
362,2.29918e-09
363,2.30029e-09
364,2.3014e-09
365,2.30251e-09
366,2.30361e-09
367,2.3047e-09
368,2.30579e-09
369,2.30687e-09
370,2.30794e-09
371,2.30901e-09
372,2.31008e-09
373,2.31115e-09
374,2.31221e-09
375,2.31326e-09
376,2.31431e-09
377,2.31535e-09
378,2.31639e-09
379,2.31742e-09
380,2.31845e-09
381,2.31948e-09
382,2.3205e-09
383,2.32151e-09
384,2.32252e-09
385,2.32352e-09
386,2.32452e-09
387,2.32551e-09
388,2.3265e-09
389,2.32748e-09
390,2.32846e-09
391,2.32944e-09
392,2.3304e-09
393,2.33137e-09
394,2.33233e-09
395,2.33329e-09
396,2.33424e-09
397,2.33519e-09
398,2.33613e-09
399,2.33707e-09
400,2.338e-09
401,2.33893e-09
402,2.33986e-09
403,2.34078e-09
404,2.3417e-09
405,2.34261e-09
406,2.34352e-09
407,2.34442e-09
408,2.34532e-09
409,2.34622e-09
410,2.34711e-09
411,2.348e-09
412,2.34888e-09
413,2.34976e-09
414,2.35063e-09
415,2.3515e-09
416,2.35237e-09
417,2.35323e-09
418,2.35409e-09
419,2.35495e-09
420,2.3558e-09
421,2.35664e-09
