Time;Channel A;Channel B
(ns);(mV);(mV)

-403,40000927;9,37807500;11,06053000
-403,00000927;9,61183500;11,29429000
-402,60000926;10,07320000;12,26009000
-402,20000926;10,30696000;12,72761000
-401,80000925;10,30696000;12,68147000
-401,40000925;10,06090000;12,43541000
-401,00000924;9,55339400;11,97404000
-400,60000924;9,56569900;11,75258000
-400,20000923;10,11934000;11,79872000
-399,80000923;10,11934000;11,82333000
-399,40000922;9,56569900;11,86946000
-399,00000922;9,55339400;11,63570000
-398,60000921;10,06090000;11,12820000
-398,20000920;10,29466000;11,11897000
-397,80000920;10,24852000;11,57726000
-397,40000919;10,23622000;12,06939000
-397,00000919;10,23622000;12,61996000
-396,60000918;10,23622000;12,14013000
-396,20000918;10,23622000;10,62377000
-395,80000917;10,23622000;10,39001000
-395,40000917;10,23622000;11,44808000
-395,00000916;10,23622000;11,94021000
-394,60000916;10,23622000;11,89407000
-394,20000915;10,22392000;11,64801000
-393,80000915;10,17778000;11,18664000
-393,40000914;10,42384000;10,93135000
-393,00000914;10,97441000;10,83907000
-392,60000913;10,75295000;11,52805000
-392,20000912;9,78715500;12,95214000
-391,80000912;9,31040800;13,41966000
-391,40000911;9,31040800;12,91523000
-391,00000911;9,78715500;12,20165000
-390,60000910;10,75295000;11,28199000
-390,20000910;10,97441000;11,08206000
-389,80000909;10,42384000;11,68184000
-389,40000909;10,17778000;11,70645000
-389,00000908;10,22392000;11,19894000
-388,60000908;10,23622000;10,96518000
-388,20000907;10,23622000;11,01132000
-387,80000907;10,24852000;11,02362000
-387,40000906;10,29466000;11,02362000
-387,00000906;10,06090000;11,02362000
-386,60000905;9,55339400;11,02362000
-386,20000904;9,56569900;11,01132000
-385,80000904;10,11934000;10,96518000
-385,40000903;10,13164000;11,18664000
-385,00000903;9,62413800;11,64801000
-384,60000902;9,39037900;11,88177000
-384,20000902;9,43651600;11,88177000
-383,80000901;9,42421200;11,63570000
-383,40000901;9,33193800;11,12820000
-383,00000900;9,78715500;11,11897000
-382,60000900;10,75295000;11,57726000
-382,20000899;10,98671000;12,04478000
-381,80000899;10,48228000;12,50307000
-381,40000898;9,99015700;12,50307000
-381,00000898;9,48572700;12,04478000
-380,60000897;9,73179100;11,56496000
-380,20000896;10,74065000;11,06053000
-379,80000896;10,97441000;11,30659000
-379,40000895;10,42384000;12,31545000
-379,00000895;10,17778000;12,56151000
-378,60000894;10,22392000;12,05709000
-378,20000894;10,23622000;11,56496000
-377,80000893;10,23622000;11,06053000
-377,40000893;10,24852000;11,31582000
-377,00000892;10,29466000;12,37389000
-376,60000892;10,07320000;12,38619000
-376,20000891;9,61183500;11,37426000
-375,80000891;9,39037900;10,89444000
