Time;Channel B
(us);(mV)

-0,94229090;0,39370070
-0,94069090;0,78740150
-0,93909090;1,18110200
-0,93749090;0,78740150
-0,93589090;0,78740150
-0,93429090;0,39370070
-0,93269090;0,78740150
-0,93109090;1,18110200
-0,92949090;0,39370070
-0,92789090;0,39370070
-0,92629090;1,18110200
-0,92469090;0,39370070
-0,92309090;0,39370070
-0,92149090;1,18110200
-0,91989090;0,78740150
-0,91829090;0,39370070
-0,91669090;0,39370070
-0,91509090;1,18110200
-0,91349090;0,78740150
-0,91189090;1,18110200
-0,91029090;0,78740150
-0,90869090;1,18110200
-0,90709090;1,18110200
-0,90549090;0,78740150
-0,90389090;0,78740150
-0,90229090;1,18110200
-0,90069090;0,78740150
-0,89909090;0,78740150
-0,89749090;1,18110200
-0,89589090;0,00000000
-0,89429090;0,39370070
-0,89269090;0,39370070
-0,89109090;0,78740150
-0,88949090;1,18110200
-0,88789090;1,18110200
-0,88629090;1,18110200
-0,88469090;0,39370070
-0,88309090;0,78740150
-0,88149090;0,78740150
-0,87989090;1,57480300
-0,87829090;0,78740150
-0,87669090;0,78740150
-0,87509090;1,18110200
-0,87349090;0,00000000
-0,87189090;0,78740150
-0,87029090;0,00000000
-0,86869090;0,78740150
-0,86709090;1,57480300
-0,86549090;0,00000000
-0,86389090;0,39370070
-0,86229090;0,78740150
-0,86069090;0,00000000
-0,85909090;0,78740150
-0,85749090;1,18110200
-0,85589090;0,00000000
-0,85429090;0,39370070
-0,85269090;0,39370070
-0,85109090;0,78740150
-0,84949090;1,18110200
-0,84789090;0,78740150
-0,84629090;0,78740150
-0,84469090;1,18110200
-0,84309090;0,00000000
-0,84149090;0,78740150
-0,83989090;0,00000000
-0,83829090;1,18110200
-0,83669090;0,39370070
-0,83509090;0,39370070
-0,83349090;1,18110200
-0,83189090;0,39370070
-0,83029090;0,39370070
-0,82869090;0,39370070
-0,82709090;0,78740150
-0,82549090;1,18110200
-0,82389090;1,18110200
-0,82229090;1,57480300
-0,82069090;1,18110200
-0,81909090;0,00000000
-0,81749090;1,18110200
-0,81589090;1,18110200
-0,81429090;1,18110200
-0,81269090;1,18110200
-0,81109090;1,57480300
-0,80949090;0,78740150
-0,80789090;0,78740150
-0,80629090;1,57480300
-0,80469090;1,18110200
-0,80309090;0,78740150
-0,80149090;0,78740150
-0,79989090;0,78740150
-0,79829090;0,39370070
-0,79669090;1,18110200
-0,79509090;0,39370070
-0,79349090;0,78740150
-0,79189090;0,78740150
-0,79029090;1,57480300
-0,78869090;1,18110200
-0,78709090;1,18110200
-0,78549090;1,18110200
-0,78389090;1,18110200
-0,78229090;0,78740150
-0,78069090;0,39370070
-0,77909090;0,39370070
-0,77749090;1,18110200
-0,77589090;0,39370070
-0,77429090;0,78740150
-0,77269090;0,78740150
-0,77109090;1,18110200
-0,76949090;0,39370070
-0,76789090;1,57480300
-0,76629090;0,39370070
-0,76469090;1,18110200
-0,76309090;0,39370070
-0,76149090;0,39370070
-0,75989090;1,18110200
-0,75829090;0,39370070
-0,75669090;0,39370070
-0,75509090;0,78740150
-0,75349090;0,39370070
-0,75189090;1,18110200
-0,75029090;1,18110200
-0,74869090;0,78740150
-0,74709090;1,18110200
-0,74549090;1,18110200
-0,74389090;0,78740150
-0,74229090;0,39370070
-0,74069090;1,18110200
-0,73909090;0,39370070
-0,73749090;1,18110200
-0,73589090;0,78740150
-0,73429090;0,39370070
-0,73269090;0,39370070
-0,73109090;1,18110200
-0,72949090;0,39370070
-0,72789090;0,78740150
-0,72629090;1,57480300
-0,72469090;0,39370070
-0,72309090;0,78740150
-0,72149090;0,78740150
-0,71989090;1,57480300
-0,71829090;0,00000000
-0,71669090;0,78740150
-0,71509090;0,78740150
-0,71349090;0,78740150
-0,71189090;0,39370070
-0,71029090;1,18110200
-0,70869090;1,18110200
-0,70709090;0,78740150
-0,70549090;0,39370070
-0,70389090;0,78740150
-0,70229090;0,39370070
-0,70069090;0,00000000
-0,69909090;1,57480300
-0,69749090;0,00000000
-0,69589090;0,39370070
-0,69429090;0,39370070
-0,69269090;1,18110200
-0,69109090;0,78740150
-0,68949090;0,78740150
-0,68789090;1,18110200
-0,68629090;1,18110200
-0,68469090;0,78740150
-0,68309090;1,57480300
-0,68149090;1,96850400
-0,67989090;0,78740150
-0,67829090;0,78740150
-0,67669090;1,57480300
-0,67509090;0,78740150
-0,67349090;0,00000000
-0,67189090;1,57480300
-0,67029090;1,18110200
-0,66869090;0,39370070
-0,66709090;1,18110200
-0,66549090;0,00000000
-0,66389090;0,78740150
-0,66229090;1,18110200
-0,66069090;1,18110200
-0,65909090;0,39370070
-0,65749090;0,78740150
-0,65589090;0,78740150
-0,65429090;1,18110200
-0,65269090;0,78740150
-0,65109090;1,18110200
-0,64949090;1,18110200
-0,64789090;0,78740150
-0,64629090;0,78740150
-0,64469090;0,78740150
-0,64309090;0,78740150
-0,64149090;1,18110200
-0,63989090;0,78740150
-0,63829090;-0,39370070
-0,63669090;1,18110200
-0,63509090;0,78740150
-0,63349090;0,39370070
-0,63189090;0,39370070
-0,63029090;0,78740150
-0,62869090;1,18110200
-0,62709090;0,39370070
-0,62549090;0,39370070
-0,62389090;0,78740150
-0,62229090;0,78740150
-0,62069090;1,18110200
-0,61909090;1,57480300
-0,61749090;1,57480300
-0,61589090;0,78740150
-0,61429090;0,78740150
-0,61269090;1,18110200
-0,61109090;0,78740150
-0,60949090;0,78740150
-0,60789090;0,78740150
-0,60629090;0,78740150
-0,60469090;0,78740150
-0,60309090;0,78740150
-0,60149090;1,57480300
-0,59989090;1,57480300
-0,59829090;-0,39370070
-0,59669090;0,00000000
-0,59509090;0,78740150
-0,59349090;1,18110200
-0,59189090;1,18110200
-0,59029090;1,18110200
-0,58869090;-0,39370070
-0,58709090;0,78740150
-0,58549090;1,18110200
-0,58389090;1,18110200
-0,58229090;0,78740150
-0,58069090;0,78740150
-0,57909090;1,57480300
-0,57749090;0,39370070
-0,57589090;0,78740150
-0,57429090;1,18110200
-0,57269090;0,78740150
-0,57109090;0,00000000
-0,56949090;0,78740150
-0,56789090;0,78740150
-0,56629090;1,18110200
-0,56469090;1,18110200
-0,56309090;1,18110200
-0,56149090;1,18110200
-0,55989090;0,78740150
-0,55829090;0,39370070
-0,55669090;0,78740150
-0,55509090;0,00000000
-0,55349090;0,78740150
-0,55189090;1,18110200
-0,55029090;1,18110200
-0,54869090;1,18110200
-0,54709090;1,18110200
-0,54549090;0,78740150
-0,54389090;1,18110200
-0,54229090;1,57480300
-0,54069090;0,39370070
-0,53909090;0,39370070
-0,53749090;0,78740150
-0,53589090;1,18110200
-0,53429090;1,18110200
-0,53269090;0,78740150
-0,53109090;1,57480300
-0,52949090;0,39370070
-0,52789090;0,78740150
-0,52629090;1,18110200
-0,52469090;1,18110200
-0,52309090;0,78740150
-0,52149090;0,39370070
-0,51989090;1,18110200
-0,51829090;0,39370070
-0,51669090;0,78740150
-0,51509090;1,18110200
-0,51349090;1,18110200
-0,51189090;1,57480300
-0,51029090;0,78740150
-0,50869090;0,39370070
-0,50709090;0,00000000
-0,50549090;1,18110200
-0,50389090;1,57480300
-0,50229090;1,18110200
-0,50069090;0,39370070
-0,49909090;0,78740150
-0,49749090;0,39370070
-0,49589090;0,39370070
-0,49429090;0,39370070
-0,49269090;1,18110200
-0,49109090;1,18110200
-0,48949090;1,18110200
-0,48789090;1,18110200
-0,48629090;1,57480300
-0,48469090;0,78740150
-0,48309090;1,18110200
-0,48149090;0,78740150
-0,47989090;0,78740150
-0,47829090;0,00000000
-0,47669090;0,39370070
-0,47509090;0,78740150
-0,47349090;0,39370070
-0,47189090;1,18110200
-0,47029090;0,00000000
-0,46869090;0,78740150
-0,46709090;0,39370070
-0,46549090;0,78740150
-0,46389090;1,57480300
-0,46229090;1,18110200
-0,46069090;1,18110200
-0,45909090;0,78740150
-0,45749090;0,78740150
-0,45589090;0,39370070
-0,45429090;1,18110200
-0,45269090;0,39370070
-0,45109090;0,78740150
-0,44949090;1,18110200
-0,44789090;0,78740150
-0,44629090;1,57480300
-0,44469090;0,39370070
-0,44309090;0,78740150
-0,44149090;1,18110200
-0,43989090;1,57480300
-0,43829090;0,78740150
-0,43669090;0,00000000
-0,43509090;0,39370070
-0,43349090;0,78740150
-0,43189090;0,00000000
-0,43029090;0,78740150
-0,42869090;0,39370070
-0,42709090;0,78740150
-0,42549090;1,18110200
-0,42389090;1,18110200
-0,42229090;0,39370070
-0,42069090;0,78740150
-0,41909090;1,18110200
-0,41749090;0,78740150
-0,41589090;0,78740150
-0,41429090;1,18110200
-0,41269090;0,39370070
-0,41109090;0,39370070
-0,40949090;0,78740150
-0,40789090;0,78740150
-0,40629090;0,78740150
-0,40469090;1,18110200
-0,40309090;1,18110200
-0,40149090;0,00000000
-0,39989090;0,78740150
-0,39829090;0,39370070
-0,39669090;1,18110200
-0,39509090;0,39370070
-0,39349090;1,57480300
-0,39189090;0,78740150
-0,39029090;1,18110200
-0,38869090;0,78740150
-0,38709090;0,78740150
-0,38549090;0,78740150
-0,38389090;1,18110200
-0,38229090;0,39370070
-0,38069090;0,78740150
-0,37909090;1,96850400
-0,37749090;0,39370070
-0,37589090;1,57480300
-0,37429090;1,57480300
-0,37269090;1,18110200
-0,37109090;0,39370070
-0,36949090;0,39370070
-0,36789090;1,57480300
-0,36629090;1,18110200
-0,36469089;1,18110200
-0,36309089;1,57480300
-0,36149089;1,57480300
-0,35989089;0,78740150
-0,35829089;1,18110200
-0,35669089;0,78740150
-0,35509089;1,57480300
-0,35349089;1,18110200
-0,35189089;0,78740150
-0,35029089;0,78740150
-0,34869089;0,00000000
-0,34709089;0,78740150
-0,34549089;1,18110200
-0,34389089;0,78740150
-0,34229089;0,39370070
-0,34069089;0,78740150
-0,33909089;1,18110200
-0,33749089;0,39370070
-0,33589089;1,18110200
-0,33429089;0,78740150
-0,33269089;0,00000000
-0,33109089;0,00000000
-0,32949089;0,00000000
-0,32789089;0,78740150
-0,32629089;1,18110200
-0,32469089;0,39370070
-0,32309089;0,78740150
-0,32149089;0,78740150
-0,31989089;1,18110200
-0,31829089;1,57480300
-0,31669089;0,00000000
-0,31509089;0,39370070
-0,31349089;0,78740150
-0,31189089;0,39370070
-0,31029089;-0,78740150
-0,30869089;0,78740150
-0,30709089;0,78740150
-0,30549089;0,78740150
-0,30389089;1,57480300
-0,30229089;1,18110200
-0,30069089;0,78740150
-0,29909089;0,78740150
-0,29749089;1,18110200
-0,29589089;0,39370070
-0,29429089;0,78740150
-0,29269089;0,78740150
-0,29109089;1,18110200
-0,28949089;1,57480300
-0,28789089;0,78740150
-0,28629089;0,00000000
-0,28469089;0,78740150
-0,28309089;1,18110200
-0,28149089;1,18110200
-0,27989089;0,78740150
-0,27829089;1,18110200
-0,27669089;1,18110200
-0,27509089;0,78740150
-0,27349089;1,18110200
-0,27189089;0,78740150
-0,27029089;0,39370070
-0,26869089;1,57480300
-0,26709089;1,18110200
-0,26549089;1,18110200
-0,26389089;1,18110200
-0,26229089;0,78740150
-0,26069089;0,00000000
-0,25909089;0,78740150
-0,25749089;0,78740150
-0,25589089;0,78740150
-0,25429089;0,78740150
-0,25269089;0,78740150
-0,25109089;0,39370070
-0,24949089;0,39370070
-0,24789089;1,57480300
-0,24629089;1,18110200
-0,24469089;0,78740150
-0,24309089;1,57480300
-0,24149089;0,78740150
-0,23989089;1,18110200
-0,23829089;1,18110200
-0,23669089;0,78740150
-0,23509089;1,18110200
-0,23349089;1,18110200
-0,23189089;0,00000000
-0,23029089;0,78740150
-0,22869089;1,57480300
-0,22709089;1,96850400
-0,22549089;0,78740150
-0,22389089;0,39370070
-0,22229089;0,78740150
-0,22069089;1,18110200
-0,21909089;0,39370070
-0,21749089;1,18110200
-0,21589089;1,18110200
-0,21429089;0,78740150
-0,21269089;1,57480300
-0,21109089;0,00000000
-0,20949089;0,39370070
-0,20789089;0,78740150
-0,20629089;1,18110200
-0,20469089;0,78740150
-0,20309089;1,18110200
-0,20149089;0,78740150
-0,19989089;0,00000000
-0,19829089;1,57480300
-0,19669089;1,18110200
-0,19509089;0,00000000
-0,19349089;1,57480300
-0,19189089;0,78740150
-0,19029089;1,18110200
-0,18869089;0,39370070
-0,18709089;0,39370070
-0,18549089;1,57480300
-0,18389089;0,39370070
-0,18229089;0,78740150
-0,18069089;0,39370070
-0,17909089;0,78740150
-0,17749089;0,78740150
-0,17589089;0,78740150
-0,17429089;0,78740150
-0,17269089;1,18110200
-0,17109089;1,57480300
-0,16949089;0,78740150
-0,16789089;0,78740150
-0,16629089;0,39370070
-0,16469089;0,78740150
-0,16309089;1,18110200
-0,16149089;0,00000000
-0,15989089;0,39370070
-0,15829089;1,57480300
-0,15669089;0,78740150
-0,15509089;0,78740150
-0,15349089;0,78740150
-0,15189089;0,39370070
-0,15029089;0,78740150
-0,14869089;0,39370070
-0,14709089;0,00000000
-0,14549089;1,57480300
-0,14389089;0,78740150
-0,14229089;0,39370070
-0,14069089;0,39370070
-0,13909089;0,39370070
-0,13749089;0,39370070
-0,13589089;0,39370070
