Time;Channel A;Channel B
(us);(mV);(mV)

-0,94130908;-0,39370070;0,78740150
-0,93970908;-1,96850400;0,39370070
-0,93810908;-0,39370070;1,18110200
-0,93650908;0,39370070;0,00000000
-0,93490908;-0,39370070;0,00000000
-0,93330908;-0,78740150;0,39370070
-0,93170908;-1,96850400;0,78740150
-0,93010908;-0,78740150;1,18110200
-0,92850908;0,39370070;1,18110200
-0,92690908;-0,78740150;0,78740150
-0,92530908;-0,78740150;0,78740150
-0,92370908;-1,57480300;1,18110200
-0,92210908;-1,18110200;0,00000000
-0,92050908;0,00000000;0,00000000
-0,91890908;0,00000000;1,18110200
-0,91730908;-0,39370070;0,78740150
-0,91570908;0,00000000;0,39370070
-0,91410908;0,00000000;1,18110200
-0,91250908;-0,39370070;0,00000000
-0,91090908;-1,57480300;0,78740150
-0,90930908;-0,78740150;-0,39370070
-0,90770908;-0,39370070;0,00000000
-0,90610908;-1,57480300;0,78740150
-0,90450908;-0,39370070;1,57480300
-0,90290908;-0,39370070;1,18110200
-0,90130908;0,39370070;0,78740150
-0,89970908;-0,39370070;0,78740150
-0,89810908;-0,39370070;0,78740150
-0,89650908;0,00000000;1,18110200
-0,89490908;-0,78740150;0,78740150
-0,89330908;-0,39370070;0,00000000
-0,89170908;-0,39370070;0,00000000
-0,89010908;0,00000000;0,00000000
-0,88850908;-0,78740150;0,39370070
-0,88690908;-0,78740150;1,57480300
-0,88530908;-0,39370070;1,57480300
-0,88370908;-0,39370070;1,18110200
-0,88210908;-0,39370070;0,00000000
-0,88050908;-0,39370070;0,00000000
-0,87890908;-0,78740150;0,39370070
-0,87730908;0,00000000;0,39370070
-0,87570908;-0,39370070;0,39370070
-0,87410908;-0,78740150;0,78740150
-0,87250908;-1,18110200;1,18110200
-0,87090908;-1,18110200;0,39370070
-0,86930908;-0,39370070;0,78740150
-0,86770908;0,00000000;0,78740150
-0,86610908;0,39370070;0,39370070
-0,86450908;-0,39370070;0,78740150
-0,86290908;-0,78740150;0,39370070
-0,86130908;-0,78740150;1,57480300
-0,85970908;0,00000000;0,78740150
-0,85810908;-0,78740150;0,39370070
-0,85650908;-0,39370070;0,78740150
-0,85490908;-0,78740150;0,78740150
-0,85330908;-1,18110200;1,18110200
-0,85170908;-0,78740150;0,39370070
-0,85010908;-0,39370070;0,00000000
-0,84850908;-0,39370070;0,78740150
-0,84690908;-0,39370070;0,39370070
-0,84530908;-0,78740150;0,39370070
-0,84370908;0,00000000;0,39370070
