Time;Channel A;Channel B
(us);(mV);(mV)

-0,94196922;-0,39370070;0,39370070
-0,94036922;-1,18110200;0,78740150
-0,93876922;-0,78740150;1,57480300
-0,93716922;-0,39370070;0,78740150
-0,93556922;-0,78740150;0,78740150
-0,93396922;-0,39370070;0,78740150
-0,93236922;-1,57480300;0,78740150
-0,93076922;0,00000000;0,39370070
-0,92916922;-0,39370070;0,39370070
-0,92756922;-0,78740150;0,78740150
-0,92596922;-1,18110200;0,39370070
-0,92436922;-0,78740150;0,78740150
-0,92276922;-1,18110200;0,00000000
-0,92116922;-0,78740150;0,78740150
-0,91956922;0,39370070;1,18110200
-0,91796922;-0,39370070;0,39370070
-0,91636922;-0,78740150;0,39370070
-0,91476922;0,00000000;0,78740150
-0,91316922;-0,39370070;1,18110200
-0,91156922;-0,39370070;0,78740150
-0,90996922;0,00000000;0,39370070
-0,90836922;-0,78740150;1,18110200
-0,90676922;-1,18110200;1,57480300
-0,90516922;0,00000000;1,57480300
-0,90356922;-0,78740150;0,00000000
-0,90196922;-0,78740150;1,18110200
-0,90036922;-1,18110200;0,00000000
-0,89876922;-0,39370070;0,00000000
-0,89716922;-0,39370070;0,39370070
-0,89556922;-0,78740150;0,78740150
-0,89396922;-0,39370070;0,00000000
-0,89236922;-0,78740150;1,18110200
-0,89076922;-0,39370070;0,78740150
-0,88916922;-0,39370070;0,39370070
-0,88756922;-1,18110200;1,18110200
-0,88596922;-0,78740150;0,78740150
-0,88436922;-0,39370070;0,78740150
-0,88276922;-0,78740150;0,78740150
-0,88116922;-1,18110200;0,39370070
-0,87956922;-0,39370070;0,39370070
-0,87796922;-1,18110200;0,78740150
-0,87636922;0,00000000;0,78740150
-0,87476922;-0,39370070;1,18110200
-0,87316922;0,00000000;0,78740150
-0,87156922;-0,39370070;1,18110200
-0,86996922;-0,78740150;0,39370070
-0,86836922;-0,39370070;1,18110200
-0,86676922;-0,39370070;1,18110200
-0,86516922;-0,39370070;0,78740150
-0,86356922;0,00000000;0,78740150
-0,86196922;0,00000000;0,39370070
-0,86036922;-0,39370070;0,78740150
-0,85876922;0,39370070;1,18110200
-0,85716922;-1,18110200;0,78740150
-0,85556922;-0,39370070;1,18110200
-0,85396922;0,00000000;0,39370070
-0,85236922;-1,18110200;0,39370070
-0,85076922;0,00000000;1,18110200
-0,84916922;-0,39370070;0,78740150
-0,84756922;-0,78740150;1,18110200
-0,84596922;-1,57480300;0,39370070
-0,84436922;0,00000000;0,78740150
