Step,ToT (s)
320,2.51001e-09
321,2.51001e-09
322,2.51007e-09
323,2.51013e-09
324,2.51019e-09
325,2.51025e-09
326,2.5103e-09
327,2.51035e-09
328,2.5104e-09
329,2.51045e-09
330,2.5105e-09
331,2.51054e-09
332,2.51067e-09
333,2.51072e-09
334,2.51077e-09
335,2.51081e-09
336,2.51086e-09
337,2.51087e-09
338,2.51091e-09
339,2.51095e-09
340,2.51098e-09
341,2.51102e-09
342,2.51105e-09
343,2.51108e-09
344,2.51111e-09
345,2.51116e-09
346,2.51118e-09
347,2.51121e-09
348,2.51126e-09
349,2.51129e-09
350,2.51131e-09
351,2.51133e-09
352,2.51134e-09
353,2.51135e-09
354,2.51137e-09
355,2.51138e-09
356,2.51139e-09
357,2.5114e-09
358,2.51141e-09
359,2.51142e-09
360,2.51142e-09
361,2.51145e-09
362,2.51145e-09
363,2.51145e-09
364,2.51142e-09
365,2.51142e-09
366,2.51142e-09
367,2.51141e-09
368,2.51141e-09
369,2.51142e-09
370,2.51141e-09
371,2.5114e-09
372,2.51139e-09
373,2.51137e-09
374,2.51136e-09
375,2.51134e-09
376,2.51133e-09
377,2.51131e-09
378,2.51132e-09
379,2.51121e-09
380,2.51119e-09
381,2.51117e-09
382,2.51114e-09
383,2.51112e-09
384,2.51109e-09
385,2.5111e-09
386,2.51107e-09
387,2.51104e-09
388,2.51101e-09
389,2.51098e-09
390,2.51094e-09
391,2.5109e-09
392,2.51087e-09
393,2.51083e-09
394,2.51084e-09
395,2.51066e-09
396,2.51061e-09
397,2.51057e-09
398,2.51052e-09
399,2.51048e-09
400,2.51043e-09
401,2.51044e-09
402,2.5104e-09
403,2.51035e-09
404,2.51029e-09
405,2.51024e-09
406,2.51019e-09
407,2.51014e-09
408,2.5101e-09
409,2.51004e-09
410,2.50999e-09
411,2.51e-09
412,2.50987e-09
413,2.50981e-09
414,2.50975e-09
415,2.50969e-09
416,2.50963e-09
417,2.50955e-09
418,2.50949e-09
419,2.50943e-09
420,2.50937e-09
421,2.5093e-09
422,2.50924e-09
423,2.50918e-09
424,2.50911e-09
425,2.50904e-09
426,2.50897e-09
427,2.50897e-09
428,2.50889e-09
429,2.50881e-09
430,2.50874e-09
431,2.50866e-09
432,2.50859e-09
433,2.50851e-09
434,2.50835e-09
435,2.50827e-09
436,2.50819e-09
437,2.50811e-09
438,2.50802e-09
439,2.50794e-09
440,2.50785e-09
441,2.50777e-09
442,2.50768e-09
443,2.5076e-09
444,2.50763e-09
445,2.50754e-09
446,2.50745e-09
447,2.50736e-09
448,2.50727e-09
449,2.50718e-09
450,2.50703e-09
451,2.50693e-09
452,2.50684e-09
453,2.50674e-09
454,2.50664e-09
455,2.50654e-09
456,2.50644e-09
457,2.50634e-09
458,2.50624e-09
459,2.50614e-09
460,2.50613e-09
461,2.50603e-09
462,2.50592e-09
463,2.50582e-09
464,2.50571e-09
465,2.50561e-09
466,2.50546e-09
467,2.50535e-09
468,2.50524e-09
469,2.50513e-09
470,2.50502e-09
471,2.50491e-09
472,2.5048e-09
473,2.50468e-09
474,2.50457e-09
475,2.50445e-09
476,2.5044e-09
477,2.50428e-09
478,2.50417e-09
479,2.50405e-09
480,2.50393e-09
481,2.50381e-09
482,2.5037e-09
483,2.50355e-09
484,2.50344e-09
485,2.50332e-09
486,2.5032e-09
487,2.50308e-09
488,2.50296e-09
489,2.50284e-09
490,2.50272e-09
491,2.50259e-09
